nu,gamma,score_min,score_max,score_std,collapsed,ROC_AUC,PR_AUC,Best_F1,Best_Thr,Precision_at_best,Recall_at_best,TN,FP,FN,TP
0.01,0.001,0.009993644044104289,0.010003290918896061,2.0269711394652602e-06,False,0.9782945736434109,0.9921029820197813,0.9772727272722275,0.010002687626635939,0.9347826086956318,0.9999999999999767,12,3,0,43
0.05,0.001,0.04996760928824574,0.0500165501440887,1.0229766646819517e-05,False,0.9782945736434109,0.9921029820197813,0.9772727272722275,0.050013527659416766,0.9347826086956318,0.9999999999999767,12,3,0,43
0.1,0.001,0.09993523048235649,0.10003312407789858,2.0462488978804284e-05,False,0.9782945736434109,0.9921029820197813,0.9772727272722275,0.10002707327243439,0.9347826086956318,0.9999999999999767,12,3,0,43
0.01,scale,-0.015942790512287586,0.10813229969589405,0.03306292689155347,False,0.9751937984496124,0.9901940775435596,0.9772727272722275,0.022396674427972496,0.9347826086956318,0.9999999999999767,12,3,0,43
0.01,auto,-0.018470316374033874,0.11791539326101334,0.036218562124156466,False,0.9751937984496124,0.9901940775435596,0.9772727272722275,0.02200782219426331,0.9347826086956318,0.9999999999999767,12,3,0,43
0.05,scale,-0.08001843211738657,0.5406941073255038,0.16535943678059142,False,0.9751937984496124,0.9901940775435596,0.9772727272722275,0.11194925345288342,0.9347826086956318,0.9999999999999767,12,3,0,43
0.05,auto,-0.09216036404049865,0.5895275970892224,0.18109779694157413,False,0.9751937984496124,0.9901940775435596,0.9772727272722275,0.10973655237374336,0.9347826086956318,0.9999999999999767,12,3,0,43
0.1,scale,-0.16001378094138596,1.0813693268012654,0.3307067574449835,False,0.9751937984496124,0.9901940775435596,0.9772727272722275,0.2237852577567221,0.9347826086956318,0.9999999999999767,12,3,0,43
0.1,auto,-0.18428180898325563,1.179046226258568,0.36218538828177127,False,0.9751937984496124,0.9901940775435596,0.9772727272722275,0.2194876798832872,0.9347826086956318,0.9999999999999767,12,3,0,43
0.01,0.0001,-0.02545140345842145,0.14404156643383048,0.04462613459530392,False,0.9736434108527132,0.9896661216343166,0.9772727272722275,0.019842736627639135,0.9347826086956318,0.9999999999999767,12,3,0,43
0.05,0.0001,-0.12706326902839482,0.7201977528029461,0.22310302574897953,False,0.9736434108527132,0.9896661216343166,0.9772727272722275,0.09874602967157275,0.9347826086956318,0.9999999999999767,12,3,0,43
0.1,0.0001,-0.2541484189008347,1.4403610846890644,0.4461792618202349,False,0.9736434108527132,0.9896661216343166,0.9772727272722275,0.19749177518793948,0.9347826086956318,0.9999999999999767,12,3,0,43
